time	ke_at_point[J/kg]
0.341	900.474
0.3415	899.951
0.342	899.044
0.3425	898.167
0.343	897.136
0.3435	895.577
0.344	893.676
0.3445	891.372
0.345	889.069
0.3455	886.501
0.346	883.612
0.3465	880.255
0.347	876.888
0.3475	873.528
0.348	870.639
0.3485	868.318
0.349	866.594
0.3495	865.261
0.35	864.433
0.3505	864.961
0.351	866.929
0.3515	869.247
0.352	870.235
0.3525	870.558
0.353	870.027
0.3535	869.86
0.354	869.816
0.3545	869.636
0.355	869.602
0.3555	869.272
0.356	868.56
0.3565	867.505
0.357	866.584
0.3575	866.398
0.358	866.861
0.3585	868.252
0.359	870.403
0.3595	873.292
0.36	876.891
0.3605	879.355
0.361	880.55
0.3615	880.414
0.362	879.693
0.3625	878.099
0.363	876.73
0.3635	876.334
0.364	877.632
0.3645	880.396
0.365	884.603
0.3655	889.542
0.366	894.581
0.3665	898.668
0.367	901.907
0.3675	904.128
0.368	905.589
0.3685	906.204
0.369	906.416
0.3695	906.464
0.37	906.336
0.3705	905.698
0.371	904.546
0.3715	902.369
0.372	899.84
0.3725	897.404
0.373	894.508
0.3735	890.984
0.374	887.198
0.3745	883.034
0.375	878.138
0.3755	872.981
0.376	867.894
0.3765	863.238
0.377	858.783
0.3775	854.151
0.378	849.789
0.3785	846.159
0.379	843.831
0.3795	842.273
0.38	841.416
0.3805	841.386
0.381	842.386
0.3815	843.955
0.382	845.382
0.3825	846.497
0.383	847.716
0.3835	848.779
0.384	849.304
0.3845	849.5
0.385	849.414
0.3855	849.551
0.386	850.28
0.3865	851.598
0.387	853.417
0.3875	855.412
0.388	857.977
0.3885	860.553
0.389	862.67
0.3895	864.32
0.39	866.067
0.3905	868.629
0.391	873.073
0.3915	878.631
0.392	884.947
0.3925	891.261
0.393	896.719
0.3935	900.502
0.394	902.076
0.3945	902.742
0.395	902.745
0.3955	903.054
0.396	903.518
0.3965	903.083
0.397	902.238
0.3975	899.892
0.398	896.517
0.3985	893.034
0.399	889.438
0.3995	884.76
0.4	879.553
0.4005	875.117
0.401	872.078
0.4015	871.021
0.402	871.059
0.4025	872.296
0.403	875.326
0.4035	879.019
0.404	881.301
0.4045	882.311
0.405	882.784
0.4055	883.04
0.406	882.801
0.4065	882.385
0.407	882.763
0.4075	884.739
0.408	887.702
0.4085	890.63
0.409	892.94
0.4095	894.788
0.41	896.28
0.4105	897.364
0.411	898.044
0.4115	898.83
0.412	899.717
0.4125	900.608
0.413	900.681
0.4135	899.782
0.414	897.938
0.4145	894.519
0.415	889.734
0.4155	884.294
0.416	878.731
0.4165	873.158
0.417	868.154
0.4175	863.379
0.418	859.809
0.4185	857.111
0.419	856.081
0.4195	857.444
0.42	860.928
0.4205	865.397
0.421	869.014
0.4215	870.605
0.422	869.958
0.4225	868.039
0.423	865.655
0.4235	864.192
0.424	863.463
0.4245	864.047
0.425	864.183
0.4255	863.352
0.426	861.839
0.4265	860.065
0.427	858.579
0.4275	857.919
0.428	857.896
0.4285	858.49
0.429	859.851
0.4295	862.235
0.43	865.518
0.4305	869.457
0.431	874.343
0.4315	879.141
0.432	883.207
0.4325	886.291
0.433	888.766
0.4335	890.225
0.434	890.71
0.4345	890.42
0.435	889.585
0.4355	888.275
0.436	886.803
0.4365	885.697
0.437	885.729
0.4375	886.967
0.438	888.319
0.4385	889.609
0.439	890.123
0.4395	889.864
0.44	888.461
0.4405	886.256
0.441	884.625
0.4415	883.672
0.442	882.509
0.4425	880.738
0.443	879.204
0.4435	877.469
0.444	875.817
0.4445	874.57
0.445	873.761
0.4455	873.475
0.446	873.751
0.4465	874.369
0.447	875.416
0.4475	876.614
0.448	878.015
0.4485	879.433
0.449	880.791
0.4495	881.797
0.45	881.973
0.4505	881.463
0.451	880.741
0.4515	880.098
0.452	879.282
0.4525	878.191
0.453	877.02
0.4535	876.462
0.454	876.153
0.4545	876.101
0.455	876.736
0.4555	878.392
0.456	880.778
0.4565	883.647
0.457	886.399
0.4575	889.294
0.458	891.294
0.4585	892.056
0.459	892.181
0.4595	891.552
0.46	890.214
0.4605	888.86
0.461	887.779
0.4615	886.247
0.462	883.166
0.4625	879.085
0.463	874.682
0.4635	870.221
0.464	867.301
0.4645	864.953
0.465	862.767
0.4655	860.484
0.466	858.677
0.4665	857.409
0.467	856.508
0.4675	856.423
0.468	857.241
0.4685	858.178
0.469	859.685
0.4695	861.382
0.47	863.804
0.4705	866.616
0.471	869.298
0.4715	871.621
0.472	872.603
0.4725	872.279
0.473	871.12
0.4735	869.634
0.474	868.083
0.4745	866.487
0.475	864.65
0.4755	863.099
0.476	861.82
0.4765	861.169
0.477	860.459
0.4775	860.208
0.478	859.645
0.4785	858.381
0.479	856.626
0.4795	855.155
0.48	854.447
